Stacking;The game uses stacking of game elements as a mechanic.
Conquering;Players can take over and hold territory in the game.
Flipping;Flipping gameplay elements over is a part of the game.
Combos;It is possible to combine gameplay elements in a way that makes them work particularly well together.
Currency;Currency and spending it is part of the game experience
Physical Space;The physical world is part of the game. Either through action (throwing, reaching, moving) or building something physically in the real world.
Building;Combining elements to build something where they work together as a whole.
Exploring;Making discoveries or moving around to find something.
Deduction;Combining information to solve a puzzle
Bluffing;Misrepresenting your abilities/resources or roles within the game.
Varying player powers;Players have somehow different skills from the beginning of the game.
Secret goals;Players have at least one goal that is hidden from other players that they are pursuing in addition to the main goal of the game.
Collecting;The players try to gather game elements together
Elimination;The game revolves around players getting eliminated from the game
Push your luck;The game has lements that drive players to take bigger and bigger risks, knowing that failure is an increasingly likely outcome.
Randomness;The element of randomness (through dice, cards, color of someone's shirt etc.) is central to the gameplay experience.
Inspired by real life;The game emulates or simulates something from the shared world we live in.
Worker Placement;Worker placement is a popular game mechanic where players assign their limited workers (meeples, tokens, or characters) to specific action spaces on the board. Each action provides unique benefits, but once a space is occupied, it's usually blocked from other players until the next round, encouraging strategic decision-making and competitive planning.
Production;Producing resources is a central part of the game.
Tug of War;The game has elements that have two end points, where moving it towards one makes it further from the other.
Hidden information;There's information in the game that none of the players have at the beginning of the game.
Building the playfield;The area of play is created by the actions of the players.
King of the Hill;The players gain some type of advantage for occupying a specific part of the playfield. Or for holding some gameplay element that changes hands.
Connections;The game is about connecting elements together or creating chains from gameplay elements.
Alternative strategies;The game allows players to win the game with clearly different strategies.
Helping;Helping others is an element of the game
Reactions;Reacting quickly is a part of the game experience.
Short rounds;The game is composed of very short rounds.
Surprises;The game allows moments where something unexpected suddenly happens.
Auction;The game allows some type of bidding for gaining some type of resources or actions. This can be for example bidding from a limited amount of money or from a limited set of cards.
Teams;Some or all players play with other players. This can mean 1 vs 3 or that all players work toward a common goal.
